"Lower Chance Farm SU58_89","Malthouse SU48_34","Calvesleys Farm SU57_159","Woodend SU57_155","Ashridge Wood SU47_140","Briff Lane SU56_119","Mayfield Farm SU57_158","The Barracks SU48_71","Compton Shepherds Hill SU57_154","Marlston Farm SU57_161","Bottom Barn SU57_153","Beenham SU56_220","Hartridge Farm SU57_39","Bere Court Farm SU67_84","comp","D"
0.835488332932403,0.679923671788692,0.618191546281434,0.868600902643455,0.580591532959598,0.668847259391418,0.803325901151988,0.393570013713241,0.830329397141082,0.876811594202899,0.595035924232528,0.674827188940092,0.550579557428872,NA,0.690470986369823,2000-04-01
0.910813086360356,0.766797228080747,0.764644194756555,0.965506125080593,0.703653585926928,0.727475468331848,0.907794500185805,0.446670729849154,0.940646364201368,0.89648033126294,0.67472240365774,0.754032258064516,0.605374077976818,NA,0.774200796441182,2000-05-01
0.886657044342876,0.737839375983395,0.740764044943821,0.949065119277885,0.668896191764933,0.710476756863912,0.895136566332219,0.402940728325461,0.914232442510877,0.87292960662526,0.664924885695623,0.735383064516129,0.585879873551106,NA,0.751163515441038,2000-06-01
0.839547750781814,0.635331927287336,0.635775280898877,0.896067053513862,0.590798376184032,0.676479333928042,0.837606837606838,0.347668749047691,0.862274704785581,0.837267080745343,0.603527106466361,0.698790322580645,0.529504741833509,NA,0.691587635819995,2000-07-01
0.765876834255473,0.524756452746811,0.526441947565543,0.831399097356544,0.518267929634642,0.633288730300328,0.763447603121516,0.295825079993905,0.787600994406464,0.805900621118012,0.568256041802743,0.630040322580645,0.512644889357218,NA,0.627980503403065,2000-08-01
0.695012428834897,0.450771651434501,0.439101123595507,0.769503546099291,0.45764546684709,0.584894439488553,0.699925678186548,0.255371019350906,0.71519577377253,0.782867494824017,0.492488569562377,0.566532258064516,0.391991570073762,NA,0.561638540010346,2000-09-01
0.63170555689199,0.365948578889223,0.354367041198502,0.697227595099936,0.397177653199304,0.548617305976807,0.639725009290227,0.215831174767637,0.65208203853325,0.772463768115943,0.455911169170476,0.588373655913979,0.329293993677555,0.380459770114943,0.502084593631412,2000-10-01
0.731657445273033,0.522245656322186,0.4212734082397,0.752804642166344,0.44310844770926,0.666071959559918,0.678836863619473,0.332368327492508,0.700683654443754,0.879710144927537,0.516002612671456,0.744623655913979,0.345100105374078,NA,0.594960532593325,2000-11-01
0.941584475984284,0.822704295135751,0.701972534332085,0.962604771115409,0.724080159804111,0.741698879968284,0.896042363433668,0.42823403931129,0.909011808576756,0.935817805383024,0.653167864141084,0.825268817204301,0.301369863013698,NA,0.757196744415673,2000-12-01
0.984604281934087,0.977620434535168,0.87685393258427,0.994842037395229,0.829112700560603,0.846466448607395,0.975613154960981,NA,0.949502796768179,0.94824016563147,0.781188765512736,0.852318548387098,0.835089567966281,NA,0.904287736236958,2001-01-01
