"D","Coven Lane 1048GW","Podmore 1022GW","Woolgarston 1009GW","Brocton Park Farm 1026GW","Broughton Hall 1032GW","Bishops Offley 1030GW","Stafford Lodge 1031GW","Stabhill 1029GW","Little Grange Farm 1035GW","Codsall 1025GW","Shelton under Harley 1043GW","Wing House 1044GW","Squirrels Leap 1063GW","Brocton Nature Reserve 1045GW","Sherbrooke Valley 1047GW","Four Crosses 1007GW","Cat and Kittens Lane 1050GW","comp"
2004-04-01,0.414634146341463,0.65613608748481,0.0759930915371327,0.400369003690037,0.791332263242374,0.637795275590548,0.472392638036809,0.894285714285715,0.807162534435257,0.43448275862069,0.770516717325229,0.708103130755064,0.885714285714282,0.34435261707989,0.605734767025091,0.347107438016526,0.37370242214533,0.565871464195662
2004-05-01,0.432926829268293,0.763061968408264,0.110535405872194,0.398523985239852,0.486356340288924,0.598425196850393,0.453987730061348,0.881428571428572,0.809917355371901,0.56551724137931,0.764437689969605,0.70902394106814,0.869047619047617,0.34159779614325,0.575268817204299,0.359504132231403,0.394463667820066,0.559648487509025
2004-06-01,0.469512195121953,0.558930741190766,0.105354058721934,0.413284132841327,0.804173354735153,0.574803149606298,0.453987730061348,0.877142857142857,0.749311294765841,0.524137931034481,0.768996960486323,0.708103130755064,0.83333333333333,0.347107438016527,0.603942652329747,0.400826446280993,0.401384083044983,0.564372440556996
2004-07-01,0.527439024390245,0.460510328068044,0.0880829015544052,0.404059040590405,0.767255216693421,0.519685039370083,0.438650306748465,0.86857142857143,0.661157024793391,0.372413793103446,0.772036474164134,0.701657458563536,0.778571428571428,0.292011019283744,0.374551971326167,0.371900826446279,0.429065743944637,0.519271707422545
2004-08-01,0.564024390243905,0.329283110571082,0.0690846286701195,0.402214022140223,0.800963081861957,0.488188976377952,0.423312883435583,0.875714285714287,0.757575757575759,0.420689655172417,0.768996960486323,0.703499079189687,0.721428571428569,0.305785123966942,0.575268817204299,0.355371900826448,0.453287197231832,0.530275790711611
2004-09-01,0.567073170731707,0.478736330498179,0.0803108808290162,0.377306273062731,0.719101123595506,0.448818897637797,0.406441717791413,0.863571428571431,0.779614325068867,0.379310344827587,0.781914893617023,0.695211786372008,0.804761904761907,0.303030303030302,0.584229390681004,0.318181818181818,0.463667820069203,0.532428377019265
2004-10-01,0.512195121951221,0.438639125151883,0.0690846286701195,0.3690036900369,0.792937399678974,0.464566929133857,0.39877300613497,0.867142857142858,0.763085399449032,0.427586206896548,0.805471124620061,0.691528545119706,0.790476190476192,0.283746556473826,0.578853046594982,0.322314049586779,0.432525951557095,0.529878225216177
2004-11-01,0.478658536585368,0.743620899149452,0.112262521588945,0.343173431734317,0.730337078651685,0.496062992125988,0.383435582822087,0.842857142857144,0.86501377410468,0.524137931034481,0.79179331306991,0.673112338858195,0.847619047619045,0.286501377410466,0.584229390681004,0.318181818181818,0.217993079584775,0.543470015062315
2004-12-01,0.493902439024391,0.793438639125153,0.0967184801381698,0.35608856088561,0.744783306581059,0.488188976377952,0.389570552147239,0.847142857142858,0.898071625344351,0.496551724137934,NA,0.680478821362799,0.83095238095238,0.294765840220384,0.577060931899643,0.380165289256195,0.439446366782008,0.550457924461133
2005-01-01,0.515243902439024,0.842041312272174,0.100172711571675,0.359778597785978,0.741573033707863,0.527559055118107,0.383435582822087,0.837142857142857,0.936639118457303,0.510344827586207,NA,0.676795580110498,0.869047619047617,0.278236914600549,0.575268817204299,0.388429752066117,0.498269896193773,0.564998723632883
2005-02-01,0.551829268292683,0.781287970838395,0.0984455958549212,0.376383763837639,0.760834670947029,0.370078740157488,0.389570552147239,0.842857142857144,0.925619834710741,0.482758620689651,0.817629179331309,0.677716390423573,0.876190476190474,0.267217630853995,0.580645161290321,0.438016528925617,0.498269896193773,0.572667730796588
2005-03-01,0.515243902439024,0.761846901579586,0.0949913644214159,0.396678966789669,0.712680577849119,0.543307086614178,0.401840490797543,0.862857142857144,0.944903581267213,0.489655172413793,NA,0.694290976058932,0.714285714285711,0.267217630853995,0.57347670250896,0.41322314049587,0.332179930795847,0.54491745512675
2005-04-01,0.60060975609756,0.81044957472661,0.105354058721934,0.411439114391145,0.735152487961476,0.566929133858273,0.4079754601227,0.884285714285716,0.942148760330576,0.620689655172413,0.82066869300912,0.70073664825046,0.704761904761904,0.269972451790631,0.580645161290321,0.433884297520662,0.498269896193773,0.593763104028546
2005-05-01,0.533536585365853,0.773997569866341,0.112262521588945,0.385608856088561,0.730337078651685,0.574803149606298,0.383435582822087,0.864285714285716,0.89256198347107,0.503448275862066,0.843465045592705,0.678637200736649,0.711904761904761,0.292011019283744,0.577060931899643,0.384297520661156,0.449826989619378,0.570087105135686
2005-06-01,0.478658536585368,0.601458080194411,0.101899827288429,0.387453874538744,0.727126805778493,0.480314960629917,0.389570552147239,0.874285714285715,0.881542699724516,0.455172413793105,0.85258358662614,0.679558011049725,0.697619047619046,0.289256198347107,0.569892473118277,0.355371900826448,0.401384083044983,0.542538162682215
2005-07-01,0.484756097560976,0.493317132442283,0.0777202072538866,0.363468634686347,0.735152487961476,0.464566929133857,0.365030674846626,0.874285714285715,0.862258953168044,0.43448275862069,0.828267477203648,0.677716390423573,0.680952380952381,0.253443526170796,0.560931899641578,0.322314049586779,0.404844290657437,0.522559388505653
2005-08-01,0.480182926829269,0.370595382746051,0.0569948186528495,0.346863468634685,0.667736757624397,0.425196850393702,0.352760736196317,0.881428571428572,0.727272727272724,0.406896551724143,0.832826747720366,0.665745856353592,0.673809523809524,0.231404958677683,0.553763440860217,0.293388429752065,0.39273356401384,0.491741253687647
2005-09-01,0.4359756097561,0.251518833535845,0.0431778929188256,0.328413284132841,0.727126805778493,0.401574803149607,0.334355828220857,0.880000000000002,0.677685950413218,0.365517241379314,0.82066869300912,NA,0.664285714285716,0.220385674931129,0.53225806451613,0.24793388429752,0.335640138408306,0.454157401170814
2005-10-01,0.423780487804878,0.172539489671932,0.0397236614853203,0.324723247232473,0.619582664526484,0.354330708661417,0.230061349693252,0.892857142857143,0.699724517906335,NA,0.828267477203648,0.664825046040516,0.678571428571431,0.192837465564735,0.535842293906808,0.256198347107435,0.318339100346018,0.452012776786239
2005-11-01,0.472560975609755,0.26123936816525,0.0621761658031088,0.302583025830258,0.71749598715891,0.409448818897643,0.303680981595091,NA,0.787878787878785,NA,0.803951367781156,NA,0.735714285714284,0.190082644628099,0.530465949820786,0.202479338842974,0.332179930795847,0.436566973465853
2005-12-01,0.439024390243902,0.59052247873633,0.0604490500863549,0.273062730627307,0.688603531300161,0.417322834645667,0.30674846625767,NA,0.80440771349862,NA,0.82066869300912,NA,0.773809523809521,0.181818181818181,0.528673835125448,0.219008264462812,0.346020761245676,0.460724318204769
2006-01-01,0.454268292682929,0.659781287970837,0.0587219343696034,0.252767527675277,0.624398073836276,0.425196850393702,0.288343558282209,0.872857142857143,0.790633608815429,NA,0.808510638297874,0.650092081031308,0.654761904761902,0.168044077134986,0.516129032258065,0.24793388429752,0.363321799307959,0.489735105873314
2006-02-01,0.457317073170732,0.664641555285542,0.0621761658031088,0.245387453874538,0.682182985553774,0.401574803149607,0.28527607361963,0.867142857142858,0.774104683195594,0.420689655172417,0.800911854103345,0.644567219152855,0.661904761904759,0.159779614325069,0.519713261648743,0.223140495867766,0.352941176470589,0.483732452320055
2006-03-01,0.460365853658538,0.693803159173753,0.0604490500863549,0.245387453874538,0.63884430176565,0.393700787401572,0.288343558282209,0.872857142857143,0.876033057851235,0.517241379310349,0.810030395136778,0.65377532228361,0.721428571428569,0.151515151515151,0.505376344086022,0.256198347107435,0.384083044982701,0.501731348282447
